machine,phase,env,method,regime,delay,seed,run_name,train_last50_mean,eval_last10_mean,entropy_last100_mean,q_table_size_final,updates,eval_points_used,metrics_path
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,0,mappo-heartbeat-plus-comm__delay-dropout__d30__s0,84.45,22.418333333333333,2.295449570417404,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-dropout__d30__s0/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,1,mappo-heartbeat-plus-comm__delay-dropout__d30__s1,174.9,52.825,2.0713020891696217,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-dropout__d30__s1/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,2,mappo-heartbeat-plus-comm__delay-dropout__d30__s2,74.05,9.953333333333333,2.0765927584469317,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-dropout__d30__s2/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,3,mappo-heartbeat-plus-comm__delay-dropout__d30__s3,153.58,38.660000000000004,2.0238178588077425,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-dropout__d30__s3/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-only,30,0,mappo-heartbeat-plus-comm__delay-only__d30__s0,117.44,20.488333333333333,2.3339730215072634,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-only__d30__s0/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-only,30,1,mappo-heartbeat-plus-comm__delay-only__d30__s1,130.69,22.328333333333333,2.4279512187838552,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-only__d30__s1/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-only,30,2,mappo-heartbeat-plus-comm__delay-only__d30__s2,124.29,16.36,2.414370007365942,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-only__d30__s2/metrics.csv
pk,main_mappo_comm,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-only,30,3,mappo-heartbeat-plus-comm__delay-only__d30__s3,74.69,12.825,2.4999565654248,,1000,10,matrix_results/overnight_v1_pk/main_mappo_comm/mappo-heartbeat-plus-comm__delay-only__d30__s3/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,baseline,0,0,mappo-no-comm__baseline__d0__s0,12.69,4.166666666666667,0.5821928066387773,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__baseline__d0__s0/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,baseline,0,1,mappo-no-comm__baseline__d0__s1,134.03,28.471666666666664,0.8727921689860523,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__baseline__d0__s1/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,baseline,0,2,mappo-no-comm__baseline__d0__s2,213.39,48.501666666666665,0.40346796203404667,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__baseline__d0__s2/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,baseline,0,3,mappo-no-comm__baseline__d0__s3,29.72,12.463333333333333,0.7997382634878158,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__baseline__d0__s3/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,dropout-only,0,0,mappo-no-comm__dropout-only__d0__s0,15.93,5.6850000000000005,0.8279905642382801,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__dropout-only__d0__s0/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,dropout-only,0,1,mappo-no-comm__dropout-only__d0__s1,36.79,5.67,0.7887591835483909,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__dropout-only__d0__s1/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,dropout-only,0,2,mappo-no-comm__dropout-only__d0__s2,121.72,25.083333333333336,0.6790437953453511,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__dropout-only__d0__s2/metrics.csv
pk,main_mappo_no_mech,rware-medium-4ag-v2,mappo-no-comm,dropout-only,0,3,mappo-no-comm__dropout-only__d0__s3,43.37,10.213333333333333,0.45102910104673355,,1000,10,matrix_results/overnight_v1_pk/main_mappo_no_mech/mappo-no-comm__dropout-only__d0__s3/metrics.csv
pk,oracle_ceiling,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,0,mappo-heartbeat-plus-comm__delay-dropout__d30__s0,162.18,47.14333333333333,2.261566569954157,,1000,10,matrix_results/overnight_v1_pk/oracle_ceiling/mappo-heartbeat-plus-comm__delay-dropout__d30__s0/metrics.csv
pk,oracle_ceiling,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,1,mappo-heartbeat-plus-comm__delay-dropout__d30__s1,123.87,23.645,2.3302698868513105,,1000,10,matrix_results/overnight_v1_pk/oracle_ceiling/mappo-heartbeat-plus-comm__delay-dropout__d30__s1/metrics.csv
pk,oracle_ceiling,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,2,mappo-heartbeat-plus-comm__delay-dropout__d30__s2,110.64,34.864999999999995,2.4954369112849237,,1000,10,matrix_results/overnight_v1_pk/oracle_ceiling/mappo-heartbeat-plus-comm__delay-dropout__d30__s2/metrics.csv
pk,oracle_ceiling,rware-medium-4ag-v2,mappo-heartbeat-plus-comm,delay-dropout,30,3,mappo-heartbeat-plus-comm__delay-dropout__d30__s3,78.58,16.405,2.513943460807204,,1000,10,matrix_results/overnight_v1_pk/oracle_ceiling/mappo-heartbeat-plus-comm__delay-dropout__d30__s3/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,4,mappo-heartbeat-only__delay-dropout__d30__s4,52.13,20.10333333333333,0.5605289189424366,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s4/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,5,mappo-heartbeat-only__delay-dropout__d30__s5,184.24,52.611666666666665,0.6653810790926218,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s5/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,6,mappo-heartbeat-only__delay-dropout__d30__s6,34.6,4.963333333333333,0.717869459502399,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s6/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-dropout,30,7,mappo-heartbeat-only__delay-dropout__d30__s7,188.14,66.75166666666667,0.5789020791091025,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s7/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,4,mappo-heartbeat-only__delay-only__d30__s4,142.8,34.973333333333336,0.8256913170404733,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s4/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,5,mappo-heartbeat-only__delay-only__d30__s5,172.91,63.82666666666667,0.8144194292649627,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s5/metrics.csv
sam,headroom,rware-medium-4ag-v2,mappo-heartbeat-only,delay-only,30,6,mappo-heartbeat-only__delay-only__d30__s6,49.69,7.07,0.9890529422089458,,1000,10,matrix_results/overnight_v1/headroom/rware-medium-4ag-v2/mappo-heartbeat-only__delay-only__d30__s6/metrics.csv
